,Model name,Method,N,Test,Train,Train-Test
3,Ridge,best120_f_regression,120,0.0870258558895822,0.08049936721181501,-0.0065264886777671866
107,LightGBM,best25_f_regression,80,0.08741058894002193,0.06506413125306515,-0.022346457686956783
27,Lasso,best35_mutual_info_regression,35,0.08951340041686506,0.08701721088458364,-0.002496189532281423
69,Elastic Net,best35_mutual_info_regression,35,0.08953330740620843,0.08703715823337102,-0.002496149172837414
2,Ridge,best25_f_regression,80,0.08962730864876112,0.08424098153187295,-0.005386327116888162
6,Ridge,best35_mutual_info_regression,35,0.08964989293268544,0.08707303270007019,-0.0025768602326152468
49,SVR,best80_mutual_info_regression,80,0.08966015079590821,0.06313297517230036,-0.026527175623607846
65,Elastic Net,best25_f_regression,80,0.08993754782737622,0.08490993336193461,-0.005027614465441602
23,Lasso,best25_f_regression,80,0.0899932923842414,0.0850159936706876,-0.004977298713553804
44,SVR,best25_f_regression,80,0.09014200096970205,0.07162402676681015,-0.018517974202891904
43,SVR,best35_f_regression,35,0.09117255204800209,0.08753415613593798,-0.0036383959120641074
85,XGB,best35_f_regression,35,0.09136922150369141,0.05246629125756195,-0.03890293024612946
127,Stack1,best35_f_regression,35,0.0932276403716668,0.05449352082837787,-0.038734119543288925
106,LightGBM,best35_f_regression,35,0.09323549212228245,0.07181336224586135,-0.0214221298764211
148,Stack2,best35_f_regression,35,0.09338817741522923,0.05273832853476943,-0.0406498488804598
64,Elastic Net,best35_f_regression,35,0.09380502129646795,0.09123799241895011,-0.002567028877517835
22,Lasso,best35_f_regression,35,0.09380586423482662,0.09126800514442217,-0.0025378590904044512
1,Ridge,best35_f_regression,35,0.09384710139519752,0.09096774732453437,-0.0028793540706631426
46,SVR,#best145_f_regression,145,0.09488119252748253,0.056503248801411554,-0.03837794372607098
45,SVR,best120_f_regression,120,0.09729324907586627,0.06341127079632808,-0.03388197827953819
131,Stack1,best15_mutual_info_regression,15,0.09896196711354759,0.06411567623588155,-0.03484629087766604
84,XGB,best15_f_regression,15,0.09913937213858544,0.06159227460233846,-0.03754709753624698
89,XGB,best15_mutual_info_regression,15,0.09922459134966072,0.06195008122592162,-0.0372745101237391
152,Stack2,best15_mutual_info_regression,15,0.09932373104208429,0.06360784725640156,-0.03571588378568273
126,Stack1,best15_f_regression,15,0.09993296498214219,0.06428714320183972,-0.03564582178030247
147,Stack2,best15_f_regression,15,0.10016908503608943,0.06247091713438522,-0.03769816790170421
110,LightGBM,best15_mutual_info_regression,15,0.10030935626090302,0.0816321034997701,-0.018677252761132926
105,LightGBM,best15_f_regression,15,0.10032419026328583,0.08123121566642147,-0.019092974596864362
47,SVR,best15_mutual_info_regression,15,0.10066730505021475,0.09898500566001209,-0.00168229939020266
42,SVR,best15_f_regression,15,0.10071011194911765,0.09897768204829285,-0.0017324299008247973
95,XGB,median_from_lasso,95,0.10221393500627896,0.06915844945960486,-0.03305548554667409
101,XGB,default_lasso,95,0.10221393500627896,0.06915844945960486,-0.03305548554667409
26,Lasso,best15_mutual_info_regression,15,0.10242326289897516,0.10133625756638398,-0.0010870053325911788
5,Ridge,best15_mutual_info_regression,15,0.1024394032054418,0.10128459656785882,-0.0011548066375829807
68,Elastic Net,best15_mutual_info_regression,15,0.10244705478040442,0.10134261515282188,-0.0011044396275825402
